name;year;genre;director;cast;rating;votes
Shaitan Ka Bachcha;;*Action, Comedy*;Karthik G. Krish;*Siddharth,Raashi Khanna,Vamsi Krishna*;;
Shaitan Ka Pash;1936;**;Ezra Mir;*Jehanara Kajjan,,*;;
Shaitan Khopdi;1999;*Horror*;Devraj;*Kumar,Vineeta,*;;
Shaitan Mantrik;2002;*Horror*;Shiv Kumar;*Anjali,Bharat,Hemant*;;
Shaitan Mujrim;1979;*Adventure, Crime, Horror*;Nazar Khan;*Rakesh Khanna,Jyoti Matwankar,Dev Kumar*;6.2;10
Shaitan Tantrik;1999;*Drama, Fantasy, Horror*;Wajid Sheikh;*Rana Jung Bahadur,Shiva Rindani,Anil Nagrath*;;
Shaitani Atma;1998;*Horror*;Harinam Singh;*Sonia Thakur,Shweta Phule,Ghanshyam*;3.2;6
Shaitani Badla;1993;*Horror*;Harinam Singh;*Harinam Singh,Sonia Thakur,Rajesh Vivek*;;
Shaitani Darinda;1999;*Horror*;Harinam Singh;*Ghanshyam,Priya,Sanjeev*;;
Shaitani Dracula;2006;*Horror*;Harinam Singh;*Birbal,Ramesh Goyal,Manmauji*;4.3;6
Shaitani Ilaaka;1990;*Horror*;Kiran Ramsay;*Sunil Dhawan,Shehnaz Kudia,Neelam Mehra*;4.8;51
Shaitani Jadu Tona;2000;*Horror*;Bharat Kapoor;*Anil Nagrath,Jyoti Rana,*;;
Shaitani Khazana;1999;*Horror*;;*,,*;;
Shaitanon Ka Honeymoon;1998;*Horror*;Dolly Minhas;*Charan Raj,,*;;
Shakaal;1994;*Action*;Senthilnathan;*Deepika Chikhalia,Kanaka,Rajinikanth*;5.4;12
Shakal Pe Mat Ja;2011;*Comedy, Crime, Drama*;Shubh Mukherjee;*Shubh Mukherjee,Pratik Katare,Harsh Parekh*;4.9;39
Shakalaka Boom Boom;2007;*Drama, Musical, Romance*;Suneel Darshan;*Bobby Deol,Upen Patel,Celina Jaitly*;2.3;604
Shake Hands;1947;**;Master Bhagwan;*,,*;;
Shakeela;2020;*Biography, Drama*;Indrajit Lankesh;*Pankaj Tripathi,Richa Chadha,Rajeev Pillai*;3.2;528
Shakespeare-Wallah;1965;*Drama, Romance*;James Ivory;*Shashi Kapoor,Felicity Kendal,Geoffrey Kendal*;6.8;685
Shakka;1981;*Action*;Shyam Ralhan;*Jeetendra,Simple Kapadia,Zaheera*;5.4;10
Shakthi: The Power;2002;*Action, Drama*;Krishna Vamsi;*Karisma Kapoor,Nana Patekar,Sanjay Kapoor*;6;"4;669"
Shakti;1982;*Action, Crime, Drama*;Ramesh Sippy;*Dilip Kumar,Amitabh Bachchan,Rakhee Gulzar*;7.7;"1;959"
Shakti;1948;**;S.I. Hassan;*Karan Dewan,Suraiya,Sophia*;;
Shakti aur Saitaan;1999;*Horror*;;*,,*;;
Shakti Leelai;1972;*Fantasy*;Ramanna;*Gemini Ganesan,Saroja Devi B.,Jayalalitha J*;;
Shaktiman;1993;*Action, Drama, Romance*;K.C. Bokadia;*Ajay Devgn,Karisma Kapoor,Mukesh Khanna*;2.6;176
Shakuntala;1931;**;Mohan Dayaram Bhavnani;*Khurshid Begum,Nawab,Nissar*;;
Shakuntala;1931;**;J.J. Madan;*,,*;;
Shakuntala;1932;**;Jehanara Kajjan;*Kapoor,Ashraf Khan,Zebunissa*;;
Shakuntala;1947;*Drama*;Shantaram Rajaram Vankudre;*Kumar Ganesh,Jayashree,Chandra Mohan*;6.7;6
Shakuntala Devi;2020;*Biography, Drama*;Anu Menon;*Vidya Balan,Adi Chugh,Sanya Malhotra*;6.1;"8;456"
Shalimar;1978;*Action, Adventure, Crime*;Krishna Shah;*Dharmendra,Zeenat Aman,Rex Harrison*;6.3;529
Shalimar;1946;**;Roop K. Shorey;*Chandra Mohan,Begum Para,Hari Shivdasani*;;
Sham Ghansham;1998;*Action, Drama*;Ashok Ghai;*Rakhee Gulzar,Chandrachur Singh,Arbaaz Khan*;3.5;61
Sham Savera;1946;**;M. Sadiq;*Rafiq Ghaznavi,,*;;
Shama;1946;**;Sibtain Fazli;*Mehtab,Wasti,Abu Baker*;;
Shama;1981;*Crime, Drama, Romance*;Naeem Basit;*Girish Karnad,Shabana Azmi,Aruna Irani*;6.9;13
Shama;1961;*Drama, Musical, Romance*;Lekhraj Bhakri;*Nimmi,Vijay Dutt,M. Kumar*;6.5;10
Shama Parwana;1954;*Drama, Romance*;D.D. Kashyap;*Suraiya,Shammi Kapoor,Mubarak*;6.6;23
Shama Parwana;1937;**;D.N. Madhok;*,,*;;
Shamaal: The Sandstorm;2004;*Comedy, Romance*;Aditya Raj;*Simon Bechus,Rola Daher,*;;
Shame;;*Mystery*;Sharib Raza;*Aanchal Chauhan,Jignesh Joshi,*;;
Shamitabh;2015;*Drama*;R. Balki;*Amitabh Bachchan,Dhanush,Akshara Haasan*;6.8;"7;099"
Shamshaan;2000;*Horror*;Kiran Kumar;*Mac Mohan,Aman Sagar,Deepak Shirke*;;
Shamshan Ghat;2003;*Horror*;Shammi Khan;*Tina Joshi,Ali Khan,Shah Gayaz Khan*;;
Shamsheer;1967;*Action*;Babubhai Mistry;*Helen,Aruna Irani,Jeevan*;;
Shamsher;1967;**;Babubhai Mistry;*Laxmi Chhaya,Helen,Aruna Irani*;;
Shamshera;2021;*Action, Adventure*;Karan Malhotra;*Ranbir Kapoor,Sanjay Dutt,Tridha Choudhury*;;
Shamsherbaaz;1940;**;Balwant Bhatt;*Eddie Billimoria,,*;;
Shamsherbaaz;1953;*Action*;Noshir Engineer;*Fearless Nadia,John Cawas,Sardar Mansur*;;
Shamshire Arab;1935;**;Jayant;*,,*;;
Shan Chor;1936;**;Navinchandra;*,,*;;
Shan E Khuda;1971;*Drama*;Anwari;*Shaukat Azmi,Azra,Uma Dutt*;;
Shanakht;1989;*Drama*;Tinnu Anand;*Amitabh Bachchan,Madhuri Dixit,Madhavi*;4.4;13
Shandaar;1974;*Drama, Family*;R. Krishnan;*S. Panju,Sanjeev Kumar,Sharmila Tagore*;6.8;29
Shandar;1990;*Action, Comedy, Drama*;Vinod Dewan;*Mithun Chakraborty,Meenakshi Sheshadri,Juhi Chawla*;5.2;42
Shane Subhan;1933;**;Agha Jani Kashmiri;*Nurjahan,Sultana,*;;
Shan-E-Hatim;1958;*Fantasy*;Chitra;*Daljeet,Tun Tun,*;;
Shan-E-Hind;1960;**;Mohan Sinha;*Nigar Sultana,Daljeet,Kumkum*;;
Shanghai;2012;*Crime, Drama, Mystery*;Dibakar Banerjee;*Emraan Hashmi,Abhay Deol,Prasenjit Chatterjee*;7.2;"9;804"
Shanivrat Mahima;1995;*Fantasy*;K. Kamleshwar Rao;*Bhanupriya,Arun Govil,Shabnam*;;
Shankar Dada;1976;*Drama*;Shibu Mitra;*Ashok Kumar,Shashi Kapoor,Neetu Singh*;6.5;26
Shankar Guru;1987;*Action*;Arjun Sarja;*Seeta,,*;;
Shankar Hussain;1977;*Drama*;Yusuf Naqvi;*Pradeep Kumar,Kanwaljit Singh,Madhu Chanda*;6.5;15
Shankar Khan;1966;*Action, Drama, Sport*;Nanabhai Bhatt;*Prithviraj Kapoor,Dara Singh,Randhawa*;5.6;5
Shankar Parvati;1979;*Adventure, Fantasy, History*;Chandrakant;*Rajni Bala,Kamini Bhatia,Urmila Bhatt*;;
Shankar Parvati;1943;**;Chaturbhuj Doshi;*Sadhona Bose,Arun,Brijmala*;;
Shankar Shambhu;1976;*Action, Crime, Drama*;Chand;*Feroz Khan,Vinod Khanna,Sulakshana Pandit*;5.5;25
Shankar Shambu;1999;*Action*;Ram Pratap Sharma;*Sheetal Bedi,Sudesh Berry,Raj Dhanoa*;;
Shankar Sita Ansuya;1965;*Adventure, Drama, Fantasy*;Manibhai Vyas;*Nirupa Roy,Mahipal,Anita Guha*;;
Shankara;1991;*Action*;Sudarshan Nag;*Sunny Deol,Neelam Kothari,Alpana*;5.4;47
Shanta;1932;**;Shantakumari;*,,*;;
Shanthi Shanthi;1984;*Action*;K. Nataraj;*Ambika,Meena,Rajinikanth*;;
Shanti;1947;*Drama*;S.U. Sunny;*Latika,Sunalini Devi,Pratima Devi*;;
Shanti Kranti;1991;*Action, Musical, Romance*;V. Ravichandran;*Nagarjuna Akkineni,V. Ravichandran,Juhi Chawla*;6;101
Shapath;1984;*Action*;Ravikant Nagaich;*Raj Babbar,Smita Patil,Ranjeet*;4.3;11
Shapath;1997;*Action*;Rajiv Babbar;*Mithun Chakraborty,Vineeta,Jackie Shroff*;5.5;90
Shaque;1976;*Drama*;Vikas Desai;*Aruna Raje,Vinod Khanna,Shabana Azmi*;7.1;50
Sharaabi;1984;*Comedy, Drama, Romance*;Prakash Mehra;*Amitabh Bachchan,Bharat Bhushan,Chandrashekhar*;7.4;"2;716"
Sharabi;1964;*Drama, Musical, Romance*;Raj Rishi;*Dev Anand,Madhubala,Daisy Irani*;7.5;71
Sharabi Ki Ladki;1960;*Drama*;;*,,*;;
Sharad Sandhya;1982;*Drama*;;*,,*;;
Sharada;1957;*Drama, Romance, Musical*;L.V. Prasad;*Raj Kapoor,Meena Kumari,Shyama*;6.6;101
Sharafat;1970;*Drama, Romance*;Asit Sen;*Ashok Kumar,Dharmendra,Hema Malini*;7.1;77
Sharafat Chhod Di Main Ne;1976;*Drama*;Jagdev Bhambri;*Feroz Khan,Hema Malini,Neetu Singh*;5.8;24
Sharafat Gayi Tel Lene;2015;*Comedy, Drama, Mystery*;Gurmmeet Singh;*Zayed Khan,Tina Desai,Anupam Kher*;4.9;273
Sharafi Loot;1937;**;D.N. Madhok;*,,*;;
Sharara;1984;*Action*;S.V. Rajendra Singh Babu;*Raaj Kumar,Hema Malini,Shatrughan Sinha*;6.8;27
Shararat;1959;*Comedy*;Harnam Singh Rawail;*Kishore Kumar,Meena Kumari,Raaj Kumar*;6.2;9
Shararat;1972;*Drama*;Manmohan Desai;*Biswajit Chatterjee,Mumtaz,Sujit Kumar*;6.7;24
Shararat;1944;*Comedy*;Kishore Sahu;*Kusum Nair,Ramesh Gupta,*;;
Shararat;2002;*Comedy, Drama, Romance*;Gurudev Bhalla;*Abhishek Bachchan,Hrishitaa Bhatt,Amrish Puri*;4.6;448
Shararat;1990;**;Atma Ram;*Kalpana Iyer,Shakti Kapoor,Amjad Khan*;;
Sharbati Aankhen;1945;**;Rajkumari;*,,*;;
Sharda;1942;*Drama, Family*;Abdul Rashid Kardar;*Mehtab,Ulhas,Wasti*;5.6;5
Sharda;1981;*Drama, Family*;Lekh Tandon;*Jeetendra,Rameshwari,Sarika*;5.5;19
Share Bazaar;1997;*Drama*;Manmohan;*Manmohan Sabir,Tinnu Anand,Birbal*;4.4;7
Shareef Budmaash;1973;*Action, Crime, Thriller*;Raj Khosla;*Dev Anand,Hema Malini,Ajit*;6.8;52
Sharif Daku;1938;**;Navinchandra;*,,*;;
Sharif Daku;1960;*Action*;Habib;*Samar Roy,Heera Sawant,*;;
Sharma ji ki beti;;**;Tahira Kashyap;*Saiyami Kher,,*;;
Sharmaji Ki Lag Gai;2019;*Comedy*;Manoj Sharma;*Mugdha Godse,Brijendra Kala,Krishna Abhishek*;4.9;251
Sharmaji Namkeen;2021;*Comedy*;Hitesh Bhatia;*Paresh Rawal,Juhi Chawla,Rishi Kapoor*;;
Sharmeelee;1971;*Mystery, Musical, Romance*;Samir Ganguly;*Shashi Kapoor,Rakhee Gulzar,Nasir Hussain*;7;154
Shart;1969;*Mystery, Thriller*;Kewal Misra;*Sanjay Khan,Mumtaz,Kumud Chuggani*;6.7;36
Shart;1954;*Drama, Family*;Bibhuti Mitra;*Deepak,Shyama,I.S. Johar*;5.8;9
Shart;1986;*Drama, Mystery, Thriller*;Ketan Anand;*Naseeruddin Shah,Shabana Azmi,Kanwaljit Singh*;6.4;40
Shart: The Challenge;2004;*Drama, Romance*;Puri Jagannadh;*Tusshar Kapoor,Gracy Singh,Amrita Arora*;3.5;152
Shashank;2021;*Biography*;Sanoj Mishra;*Sanoj R. Mishra,Varun Joshi,Rajveer Singh*;;
Shashi Punhu;1932;**;Jagatrai Pesumal Advani;*Nurjahan,Sushila,*;;
Shastra;1996;*Action, Drama*;Sanjay Khanna;*Sunil Shetty,Anjali Jathar,Anupam Kher*;4.6;83
Shatagni - The Movie;;*Action, Crime, Thriller*;Lv Siva;*Abhiram Dasari,Swathi Mandal,*;;
Shathru;1993;*Action*;Brahmanandam;*Jaya Prada,Vijayakanth,*;;
Shatranj;1993;*Comedy, Drama, Romance*;Aziz Sejawal;*Jackie Shroff,Juhi Chawla,Mithun Chakraborty*;6.3;96
Shatranj;1956;*Drama, Family*;Gyan Mukherjee;*Ashok Kumar,Meena Kumari,Rajendranath Malhotra*;6.7;6
Shatranj;1969;*Thriller, Mystery*;S.S. Vasan;*Rajendra Kumar,Waheeda Rehman,Mehmood*;6.1;32
Shatranj;1946;*Drama*;Vaju Kotak;*G.S. Potdar,Krishnakant,Leela Chitnis*;;
Shatranj Ke Mohre;1974;**;Shibu Mitra;*Dulari,Satyendra Kapoor,Pradeep Kumar*;;
Shatru;1986;*Action, Adventure, Crime*;Pramod Chakravorty;*Rajesh Khanna,Shabana,Ashok Kumar*;6.9;40
Shatru;1993;*Action*;Jaya Prada;*Vijayakanth,,*;;
Shaukeen;1949;**;Nanabhai Bhatt;*Master Bhagwan,Chand,Kanta*;;
Shaukeen;1982;*Comedy*;Basu Chatterjee;*Ashok Kumar,A.K. Hangal,Utpal Dutt*;7.2;446
Shaukeen;2004;*Thriller*;Rajesh Sabharwal;*Vinod Tripathi,,*;;
Shaukeen Kaminay;2016;*Comedy, Drama*;Anil Chorasiya;*Seema Bilong,Sunil Chourasiya,Ankit Gajera*;6.1;30
Shauqeen Haseena;1992;*Thriller*;Karthik;*Mahesh,Radha,*;;
Shaurya: It Takes Courage to Make Right... Right;2008;*Crime, Drama, Thriller*;Samar Khan;*Rahul Bose,Javed Jaffrey,Minissha Lamba*;7.3;"3;995"
Shayar;1949;*Drama*;Chawla;*Kamini Kaushal,Suraiya,*;;
Shayar-e-Kashmir Mahjoor;1972;*Drama*;Prabhat Mukherjee;*Pushar Bhan,Pushkar Bhan,Gitanjali*;;
Shayun;1951;**;Kamal Kapoor;*,,*;;
Shazadi;1992;*Drama*;A. Habib;*Tinnu Anand,Arun Bakshi,Raj Kishore*;;
She: The Movie;2014;*Thriller*;Viplab Majumder;*Ravi Sah,Anirban Ghosh,Priya Mitra*;;
Sheba and Hercules;1967;*Action*;Vijaya Choudhury;*Kamal Mehra,Randhawa,Saudagar Singh*;;
Shee;1997;*Thriller*;;*,,*;;
Sheela I Love You;2001;*Thriller*;Bhaskar;*Hema,Sharmili,*;;
Sheela Meri Jaan;1990;*Thriller*;Harish;*Jayalalitha,Uma Maheshwari,*;;
Sheen;2004;*Action, Drama*;Ashoke Pandit;*Tarun Arora,Sheen,Raj Babbar*;6.2;73
Sheesh Mahal;1950;*Drama*;Sohrab Modi;*Sohrab Modi,Naseem Banu,Pushpa Hans*;7.4;15
Sheesha;1986;*Drama*;Basu Chatterjee;*Mithun Chakraborty,Moon Moon Sen,Vijayendra Ghatge*;7.2;53
Sheesha;1952;**;Shaheed Latif;*Amar,Cuckoo,Bimla Kumari*;;
Sheesha;2005;*Drama, Romance, Thriller*;Ashu Trikha;*Neha Dhupia,Sonu Sood,Vivek Shauq*;3.4;264
Sheeshay Ka Ghar;1984;*Crime, Drama, Family*;Amit Khanna;*Ketan Anand,Ila Arun,Raj Babbar*;6;6
Sheeshe Ki Diwar;1954;**;K.A. Abbas;*Manmohan Krishna,Ruby Mayer,Pran*;;
Sheeshon Ka Masiha;1985;*Documentary*;Muzaffar Ali;*,,*;;
Sheetalbhabi.com;2011;*Comedy*;C.M. Jain;*Jatin Grewal,Hina Tasleem,Monalisa*;3.9;34
Sheetla Mata;1981;*Drama, Family, Fantasy*;Ramgopal Gupta;*Rajni Bala,Birbal,Sudhir Dalvi*;;
Shehar Aur Sapna;1964;*Drama*;Khwaja Ahmad Abbas;*David Abraham,Anwar Hussain,Manmohan Krishna*;6.5;13
Shehjar;2019;*Adventure, Drama, Mystery*;Nikhil Allug;*Ira Dubey,Zahid Mir,Kali Prasad Mukherjee*;;
Shehnai;1964;*Musical, Romance*;S.D. Narang;*Biswajit Chatterjee,Rajshree,Nirupa Roy*;5.7;17
Shehnai;1947;*Romance*;P.L. Santoshi;*Rehana,Indumati,Nasir Khan*;4.2;5
Shehri Gabru;2020;*Comedy, Crime*;Saurabh Gulab Rao;*Naman Bhati,Akshay Kaushal,Atul Kaushal*;8.5;92
Shehzaade;1989;*Action*;Raj N. Sippy;*Dharmendra,Shatrughan Sinha,Sameer Khakhar*;4.7;34
Shehzada;1972;*Drama, Family*;K. Shankar;*Rajesh Khanna,Rakhee Gulzar,Veena*;6.6;47
Sheikh Chilli;1942;*Comedy, Fantasy*;Kikubhai Desai;*Moti,Navinchandra,Vasantrao*;;
Sheikh Chilli;1956;*Action, Adventure, Comedy*;Ramchandra Thakur;*Master Bhagwan,Shyama,Mahipal*;5.4;9
Sheikhchilli the Great;;*Comedy*;Jatinder Sharma;*Hari Ram Toofan,Moni Sharma,Zakir Ali*;;
Sheil Bala;1932;**;Keki Adajania;*M. Bhagwandas,Gohar,Kamlabai Gokhale*;;
Sheitaan;2017;*Horror*;Sameer Khan;*Iti Acharya,Asif Basra,Nirab Hossain*;4;20
Shekhar Mera Naam;1983;*Action*;Neelam Mukherjee;*Aparna,Manik Dutt,Madhushala*;;
Shen Lagna;1938;**;Hansa Wadkar;*,,*;;
Sheol;2020;*Horror*;Prince Khan;*Alan,Kazim Khan,Laughy Paul*;;
Sher Dil;1990;*Action, Drama*;Jagdish Sidana;*Dharmendra,Anita Raj,Rishi Kapoor*;4.6;26
Sher Dil;1954;*Action, Adventure*;Boman Shroff;*Shree Bhagwan,John Cawas,Dalpat*;;
Sher Dil;1965;*Action*;Chand;*Dara Singh,Parveen Choudhary,Jayant*;;
Sher Dil Aurat;1935;**;Anand Prasad Kapoor;*Bhudo Advani,Ameena,Paidi Jairaj*;;
Sher E Afghan;1966;*Action*;Hiralal;*Prithviraj Kapoor,Maruti,Prem Nath*;;
Sher E Watan;1971;*Action*;Harbans;*Dara Singh,Prithviraj Kapoor,Nishi*;;
Sher Gujjar;2021;*Action*;Aakash Gupta;*Mushtaq Khan,Gajendra Chauhan,Priyanka S. Sharma*;;
Sher Ka Beta;2002;*Action*;Rudraraju Suresh Varma;*Suresh Verma,J.D. Chakravarthi,Jeeva*;;
Sher Ka Panja;1936;*Adventure*;Dwarka Khosla;*Sardar Akhtar,Hari Shivdasani,*;;
Sher Khan;1962;*Action*;Radhakant;*Jayant,Kumkum,Kamaljit Singh*;;
Sher Khan;1998;*Action*;Ambrish Sangal;*Sadashiv Amrapurkar,Ankita,Rita Bhaduri*;5.4;8
Sher Shivaji;1987;*History*;Ram Narayan Gabale;*Parikshit Sahni,Smita Patil,Shreeram Lagoo*;6.2;12
Shera;1999;*Action*;T.L.V. Prasad;*Asrani,Mithun Chakraborty,Pinky Chinoy*;5.1;56
Shera Daku;1966;**;Radhakant;*Kamran,Kumkum,Sheikh Mukhtar*;;
Shera Shamshera;1990;*Action, Crime*;S.R. Pratap;*Raj Babbar,Sonam,Kabir Bedi*;4.1;8
Sherdil Ladkiyan;1985;*Action*;Mohan Babu;*Swapna,,*;8.1;17
Sher-E-Baghdad;1946;**;Homi Wadia;*John Cawas,Sayani Atish,Fearless Nadia*;;
Sher-E-Baghdad;1957;*Action*;Helen;*Hiralal,Mahipal,Nigar Sultana*;;
Sher-e-Bengal;1947;*Action*;Ranjibhai Arya;*Mohammed Hussain,M.H. Douglas,Rajkumari*;;
Sher-E-Hindustan;1997;*Action*;T.L.V. Prasad;*Mithun Chakraborty,Sanghavi,Gulshan Grover*;5;44
Sher-e-Jungle;1937;**;Mohan Dayaram Bhavnani;*S.B. Nayampalli,,*;;
Sherni;1988;*Action, Drama*;Harmesh Malhotra;*Birbal,Jagdeep,Kader Khan*;4.6;45
Sherni;2021;*Drama*;Amit Masurkar;*Vidya Balan,Mukul Chadda,Vijay Raaz*;;
Shero Ka Sher;1983;*Action*;Chiranjeevi;*Jaya Prada,Radhika Sarathkumar,*;;
Sheroo;1957;*Drama, Family*;Shakti Samanta;*Ashok Kumar,Nalini Jaywant,Anoop Kumar*;6.8;12
Shershaah;2021;*Action, History*;Vishnuvardhan;*Raj Arjun,Vijay Meenu,Rahaao*;;
Shesh;1988;**;Amit Khanna;*Gopi Desai,Anita Kanwar,Ranjana*;;
Shesh Naag;1957;**;Chaturbhuj Doshi;*Trilok Kapoor,Sulochana Latkar,Shahu Modak*;;
Sheshnaag;1990;*Action, Fantasy, Thriller*;K.R. Reddy;*Jeetendra,Rekha,Rishi Kapoor*;4.5;81
Shiddat;;*Romance*;Kunal Deshmukh;*Sunny Kaushal,Radhika Madan,Mohit Raina*;;
Shikaar;1996;*Action, Thriller*;Urmila Matondkar;*Jackie Shroff,,*;5.3;20
Shikaar;2004;*Action, Musical, Thriller*;Darshan Bagga;*Jaz Pandher,Danny Denzongpa,Kanishkaa Kapoor*;4.9;34
Shikaar;2000;*Action, Mystery*;Bobby Raj;*Abhishek Kapoor,Vikas Bhalla,Ayesha Jhulka*;3.6;28
Shikar;1968;*Mystery, Thriller*;Atma Ram;*Asha Parekh,Dharmendra,Sanjeev Kumar*;6.6;111
Shikar;1955;**;Ravindra Dave;*Smriti Biswas,Bipin Gupta,Nimmi*;;
Shikar;2001;*Action*;;*,,*;;
Shikara;2020;*Drama, History, Romance*;Vidhu Vinod Chopra;*Sadia Khateeb,Aadil Khan,Zain Khan Durrani*;3.8;"6;399"
Shikari;2000;*Crime, Drama, Thriller*;N. Chandra;*Govinda,Tabu,Karisma Kapoor*;4.6;431
Shikari;1932;*Adventure*;Thorold Dickinson;*Naval Gandhi,Husn Banu,Seeta Devi*;;
Shikari;1963;*Action, Adventure, Horror*;Mohammed Hussain;*Ajit,Ragini,Helen*;5.7;41
Shikari;1946;*Musical*;Savak B. Vacha;*Ashok Kumar,Veera,Paro*;;
Shikari;1981;**;;*,,*;;
Shikari: The Hunter;1991;*Action, Adventure*;Latif Faiziyev;*Umesh Mehra,Mithun Chakraborty,Naseeruddin Shah*;5.6;55
Shikast;1953;*Drama*;Ramesh Saigal;*Dilip Kumar,Nalini Jaywant,Durga Khote*;7;41
Shikayat;1948;**;Shaheed Latif;*Shyam,Snehprabha Pradhan,Nigar Sultana*;;
Shikhar;2005;*Drama*;John Mathew Matthan;*Ajay Devgn,Shahid Kapoor,Bipasha Basu*;4.9;"1;061"
Shikkast;2016;*Action*;Treenayan Sharma;*Trinayan Sharma,,*;;
Shikshaa;1979;*Drama, Family*;S. Ramanathan;*Raj Kiran,Sushma Verma,Beena Banerjee*;5.6;9
Shikwa;1974;**;Ramchandra;*Rakesh Pandey,Zaheeda,Samit Bhanja*;;
Shikwa;1958;*Romance*;Aruna Irani;*Dilip Kumar,Nutan,Ramesh Saigal*;;
Shikwah;1974;*Drama*;Ramchadra;*,,*;;
Shimla Mirchi;2020;*Comedy, Romance*;Ramesh Sippy;*Hema Malini,Rajkummar Rao,Rakul Preet Singh*;4.6;"1;322"
Shin Shinaki Boobla Boo;1952;*Fantasy*;P.L. Santoshi;*Sadhona Bose,Mehmood,Ranjan*;;
Ship of Theseus;2012;*Drama*;Anand Gandhi;*Aydah El-Kashef,Yogesh Shah,Faraz Khan*;8.1;"6;922"
Shirdi Ke Sai Baba;1977;*Biography, Drama*;Ashok V. Bhushan;*Sudhir Dalvi,Manoj Kumar,Rajendra Kumar*;7;229
Shirdi Sai Baba;2001;*Drama, Mystery*;Deepak Balraj Vij;*Anand Balraj,Sudhir Dalvi,Dharmendra*;4.8;178
Shirin Farhad;1956;*Adventure, Drama, Romance*;Aspi Irani;*Madhubala,Pradeep Kumar,P. Kailash*;7.2;30
Shirin Farhad;1931;*Musical, Drama, Romance*;J.J. Madan;*Nissar,Jehanara Kajjan,Mohammed Hussain*;;
Shirin Farhad;1945;**;Jayant;*Ghulam Mohammed,Ragni,Zahoor Shah*;;
Shirin Farhad Ki Toh Nikal Padi;2012;*Romance*;Bela Segal;*Freny Bhagat,Dinyar Contractor,Nauheed Cyrusi*;4.2;"1;023"
Shisham;1952;*Drama, Family*;Kishore Sharma;*Nasir Khan,Nutan,Gope*;;
Shiv Bhakat Baba Balak Nath;1972;*Drama*;Avatar;*Sulochana Chatterjee,Jayshree Gadkar,Maruti*;;
Shiv Bhakta;1955;*Drama*;H.L.N. Simha;*Anand Kumar,Shahu Modak,Padmini*;;
Shiv Charan;1982;*Fantasy*;Anil Kumar;*Vinod Mehra,Zarina Wahab,Navin Nischol*;6.4;8
Shiv Ganga;1988;*Drama*;Satish Kumar;*Biswajit Chatterjee,Ahalya,Dara Singh*;;
Shiv Kanya;1954;*Fantasy*;Dhirubhai Desai;*Indira Bansal,Anjali Devi,Trilok Kapoor*;;
Shiv Leela;1952;**;Govind B. Ghanekar;*,,*;;
Shiv Parvati;1962;*Family*;S.N. Tripathi;*Jeevan,Trilok Kapoor,Praveen Paul*;;
Shiv Puran;1995;*Action*;Narsimha Raju;*Rami Reddy,,*;;
Shiv Putra Swami Ayappa;1990;*Drama*;P.S. Mani;*Amitabh Bachchan,Rajinikanth,Rajkumar*;;
Shiv Ram;1991;*Action, Crime, Drama*;Jagdish A. Sharma;*Jeetendra,Aditya Pancholi,Sadashiv Amrapurkar*;4.3;24
Shiv Ratri;1954;**;Jayant Desai;*Manher Desai,Trilok Kapoor,Nirupa Roy*;;
Shiv Shakti;1952;*Fantasy*;Jayant Desai;*Jeevan,Trilok Kapoor,Nirupa Roy*;;
Shiv Shakti;1980;*Drama*;Ramesh Deo;*Paidi Jairaj,Shashi Kapoor,Dara Singh*;;
Shiv Teri Mahima Nyari;1993;*Drama, Fantasy*;Suresh Sinh Gohil;*Beena Banerjee,Vijayendra Ghatge,Rajendranath Malhotra*;;
Shiva;1989;*Action, Crime, Drama*;Ram Gopal Varma;*Nagarjuna Akkineni,Amala Akkineni,Raghuvaran*;8.1;"3;399"
Shiva;2006;*Action, Crime, Drama*;Ram Gopal Varma;*Mohit Ahlawat,Priyanka Kothari,Vinod Jaywant*;3.9;330
Shiva Dada;1991;*Action*;K. Raghavendra Rao;*Nagarjuna Akkineni,Shanti Priya,Silk Smitha*;5.8;8
Shiva Ka Insaaf;1985;*Action, Adventure, Fantasy*;Raj N. Sippy;*Jackie Shroff,Poonam Dhillon,Vinod Mehra*;4.6;49
Shiva Ka Insaaf;2003;*Action*;Ramesh U. Lakhiani;*Rajesh Bakshi,Dharmendra,Mohan Joshi*;;
Shiva Ka Insaaf;1987;*Action*;Kodanda Rami Reddy A.;*Bhanupriya,Chiranjeevi,Madhavi*;;
Shiva Mera Naam;2004;*Action*;Dileep;*Kavya Madhavan,,*;;
Shiva Shakti;1988;*Action, Crime, Drama*;Anand;*Shatrughan Sinha,Govinda,Anita Raj*;4.7;29
Shivaay;2016;*Action, Adventure, Drama*;Ajay Devgn;*Ajay Devgn,Abigail Eames,Erika Kaar*;6.2;"9;909"
Shivalika;2013;*Animation*;Bhagabat Kar;*Biman Sengupta,Smita Jaykar,Sparsh Khanchandani*;;
Shivam;2011;*Drama, Mystery*;Anshuman Barua;*Pankaj Badra,Mohit Chauhan,*;;
Shivanaga;1992;**;K.S.R. Das;*Arjun Sarja,Malasri,Doddanna*;;
Shivani;2019;*Crime*;Ugresh Prasad Ujala;*Santosh,,*;;
Shivani;2019;*Crime*;Ugresh Prasad Ujala;*Santosh,,*;;
Shiva-The Mahadev;2015;*Drama*;Meenoo Hooda;*,,*;;
Shobha;1954;**;Niren Lahiri;*Abhi Bhattacharya,Manju Dey,Usha Kiran*;;
