name;year;genre;director;cast;rating;votes
Aa Dekhen Zara;2009;*Action, Sci-Fi, Thriller*;Jehangir Surti;*Neil Nitin Mukesh,Bipasha Basu,Sophiya Chaudhary*;5;866
Aa Gale Lag Jaa;1973;*Action, Drama, Romance*;Manmohan Desai;*Shashi Kapoor,Sharmila Tagore,Shatrughan Sinha*;7.2;348
Aa Gale Lag Jaa;1994;*Mystery, Romance*;Hamid Ali Khan;*Jugal Hansraj,Urmila Matondkar,Paresh Rawal*;4.4;115
Aa Gaya Hero;2017;*Action*;Dipankar Senapati;*Govinda,Richa Sharma,Poonam Pandey*;2.7;339
Aa Jao Please;2016;*Drama*;Azad Jain;*Neha Chauhan,Ganraj Jadhav,Dipak Khetiya*;6.8;16
Aaag Hi Aag;1999;*Action*;T.L.V. Prasad;*Mithun Chakraborty,Jackie Shroff,Sneha*;4.9;28
Aabra Ka Daabra;2004;*Fantasy*;Dheeraj Kumar;*Naveen Bawa,Prabhu Deva,Satish Kaushik*;2.4;264
Aabroo;1956;*Romance*;Chaturbhuj Doshi;*Kamini Kaushal,Kishore Kumar,Madan Puri*;;
Aabroo;1968;*Comedy, Crime, Drama*;C.L. Rawal;*Ashok Kumar,Vimi,Rehman*;5.5;21
Aabroo;1943;**;Nazir;*,,*;5.2;5
Aabshar;1953;*Drama, Romance*;Hasrat Lucknowi;*Iftekhar,Kuldip Kaur,Raaj Kumar*;5;5
Aadab Arz;1943;**;V.C. Desai;*Nalini Jaywant,Mukesh,*;5.2;5
Aadab Hyderabad;2007;**;Sanjay Punjabi;*,,*;;
Aadamkhor;1986;*Action*;Joginder Shelly;*Sona Mastan Mirza,Joginder Shelly,Neelam Mehra*;5.5;6
Aadamkhor;2018;*Horror*;Kshitij Sharma;*Deeya Dey,Anoma Pabuwal,Mahendra Singh Rawat*;7.4;150
Aadamkhor Hasina;2002;*Action*;Salim Suma;*Poonam Dasgupta,Raza Murad,Amit Pachori*;;
Aadarniy Pitaji;2020;*Family*;Prashant Kumar;*,,*;;
Aadarsh;1983;*Drama*;;*,,*;;
Aadat;1989;**;Dev Malhotra;*Madhuri Mishra,Ashok Pandey,Reema Raj*;;
Aadat Se Majboor;1982;*Action, Crime, Drama*;Ambrish Sangal;*Mithun Chakraborty,Rameshwari,Madan Puri*;5.5;28
Aadha Din Aadhee Raat;1977;*Action*;Doondi;*Jalal Agha,Vinod Khanna,Shabana Azmi*;5.1;18
Aadhaar;2019;*Drama*;Suman Ghosh;*Vineet Kumar Singh,Saurabh Shukla,Raghuvir Yadav*;7.6;69
Aadhaar;2004;*Drama*;Shorya Veer Saagar;*Saurabh Agnihotri,Aryan Harnot,Pooja Raawat*;;
Aadharshila;1982;*Drama*;Ashok Ahuja;*Dolly Ahluwalia,Raja Bundela,Neena Gupta*;6.4;19
Aadhe Adhure;1996;*Drama*;Pooja Choudhary;*Tushar Dalvi,Narendra Gupta,Rekha Purohit*;;
Aadhi Bhagavan;2013;*Action, Crime, Thriller*;Ameer Sultan;*Jayam Ravi,Neetu Chandra,Sudha Chandran*;5.4;568
"Aadhi Haqeeqat; Aadha Fasana";1990;*Documentary*;Dilip Ghosh;*,,*;;
Aadhi Mimansa;1991;**;Apurba Kishore Bir;*Mohan Gokhale,Neena Gupta,Ashok Kumar*;6.2;9
Aadhi Raat;1957;**;Chandrakant;*,,*;;
Aadhi Raat;1950;*Drama, Romance*;S.K. Ojha;*Cuckoo,Jeevan,Kuldip Kaur*;6.7;9
Aadhi Raat;1999;*Horror*;Hriday Shankar;*Manoj Bakshi,Satyendra Kapoor,Satnam Kaur*;;
